scheme,workload,gpu_id,comp_type,comp_id,hit_rate,remote_hit_rate,read_hits,read_misses,write_hits,write_misses
CD,im2col,2,L1SCache,,0.995850622406639,,11520.0,48.0,0.0,0.0
CD,im2col,2,L1ICache,,0.9940235323414057,,47901.0,288.0,0.0,0.0
CD,im2col,2,L2Cache,0,0.6045858680393075,0.594170403587444,340.0,332.0,952.0,513.0
CD,im2col,2,L2Cache,1,0.5910636231180184,0.5675029868578255,330.0,329.0,887.0,513.0
CD,im2col,2,L2Cache,2,0.6043233082706767,0.5959595959595959,350.0,330.0,936.0,512.0
CD,im2col,2,L2Cache,3,0.5961630695443645,0.5918367346938775,337.0,330.0,906.0,512.0
CD,im2col,2,L2Cache,4,0.5942168674698796,0.590443686006826,333.0,330.0,900.0,512.0
CD,im2col,2,L2Cache,5,0.6017029328287606,0.6004439511653719,343.0,330.0,929.0,512.0
CD,im2col,2,L2Cache,6,0.6013257575757576,0.6017699115044248,364.0,330.0,906.0,512.0
CD,im2col,2,L2Cache,7,0.6022673594709494,0.6022099447513812,357.0,330.0,918.0,512.0
CD,im2col,2,L2Cache,8,0.5949855351976856,0.5812865497076023,369.0,328.0,865.0,512.0
CD,im2col,2,L2Cache,9,0.5827123695976155,0.5541718555417185,350.0,328.0,823.0,512.0
CD,im2col,2,L2Cache,10,0.5900439238653001,0.5832363213038417,340.0,328.0,869.0,512.0
CD,im2col,2,L2Cache,11,0.5861728395061728,0.5628815628815629,328.0,326.0,859.0,512.0
CD,im2col,2,L2Cache,12,0.5805805805805806,0.549685534591195,307.0,326.0,853.0,512.0
CD,im2col,2,L2Cache,13,0.5765538150581102,0.541025641025641,326.0,326.0,815.0,512.0
CD,im2col,2,L2Cache,14,0.6060178655383168,0.6,368.0,326.0,921.0,512.0
CD,im2col,2,L2Cache,15,0.5980815347721823,0.5903890160183066,347.0,326.0,900.0,512.0
CD,im2col,3,L1SCache,,0.995850622406639,,11520.0,48.0,0.0,0.0
CD,im2col,3,L1ICache,,0.9940235323414057,,47901.0,288.0,0.0,0.0
CD,im2col,3,L2Cache,0,0.5969341749323716,0.5699039487726788,342.0,380.0,982.0,514.0
CD,im2col,3,L2Cache,1,0.6018641810918774,0.5757261410788381,382.0,377.0,974.0,520.0
CD,im2col,3,L2Cache,2,0.5957253296953161,0.5591160220994476,365.0,379.0,945.0,510.0
CD,im2col,3,L2Cache,3,0.5904059040590406,0.5597345132743363,372.0,376.0,908.0,512.0
CD,im2col,3,L2Cache,4,0.5779467680608364,0.5420023014959724,337.0,376.0,879.0,512.0
CD,im2col,3,L2Cache,5,0.5875522526706921,0.5597345132743363,346.0,376.0,919.0,512.0
CD,im2col,3,L2Cache,6,0.5919117647058824,0.5687973997833152,353.0,376.0,935.0,512.0
CD,im2col,3,L2Cache,7,0.5892691951896393,0.5548098434004475,362.0,376.0,912.0,512.0
CD,im2col,3,L2Cache,8,0.5963718820861678,0.5731056563500534,368.0,378.0,947.0,512.0
CD,im2col,3,L2Cache,9,0.5854680950163018,0.5580110497237569,360.0,378.0,897.0,512.0
CD,im2col,3,L2Cache,10,0.5827473042662916,0.5652173913043478,373.0,378.0,870.0,512.0
CD,im2col,3,L2Cache,11,0.5919117647058824,0.5698924731182796,372.0,376.0,916.0,512.0
CD,im2col,3,L2Cache,12,0.5892691951896393,0.5565410199556541,397.0,376.0,877.0,512.0
CD,im2col,3,L2Cache,13,0.5869767441860465,0.5520716685330347,382.0,376.0,880.0,512.0
CD,im2col,3,L2Cache,14,0.5989159891598916,0.574468085106383,409.0,376.0,917.0,512.0
CD,im2col,3,L2Cache,15,0.5958124715521165,0.5721925133689839,378.0,376.0,931.0,512.0
CD,im2col,4,L1SCache,,0.995850622406639,,11520.0,48.0,0.0,0.0
CD,im2col,4,L1ICache,,0.9940235323414057,,47901.0,288.0,0.0,0.0
CD,im2col,4,L2Cache,0,0.5760709010339734,0.5254658385093167,249.0,379.0,921.0,482.0
CD,im2col,4,L2Cache,1,0.5904988123515439,0.5511627906976744,291.0,376.0,952.0,486.0
CD,im2col,4,L2Cache,2,0.5794846864365581,0.545774647887324,287.0,374.0,905.0,491.0
CD,im2col,4,L2Cache,3,0.575098814229249,0.5452380952380952,283.0,378.0,881.0,482.0
CD,im2col,4,L2Cache,4,0.5704295704295704,0.5341463414634147,292.0,378.0,850.0,482.0
CD,im2col,4,L2Cache,5,0.5804878048780487,0.5563298490127758,294.0,378.0,896.0,482.0
CD,im2col,4,L2Cache,6,0.5817120622568094,0.54739336492891,288.0,378.0,908.0,482.0
CD,im2col,4,L2Cache,7,0.5790504160548213,0.5414165666266506,275.0,378.0,908.0,482.0
CD,im2col,4,L2Cache,8,0.5745937961595273,0.5332527206771464,268.0,382.0,899.0,482.0
CD,im2col,4,L2Cache,9,0.5779189057156815,0.5522041763341067,284.0,382.0,899.0,482.0
CD,im2col,4,L2Cache,10,0.562753036437247,0.5132408575031526,279.0,382.0,833.0,482.0
CD,im2col,4,L2Cache,11,0.5741106719367589,0.5393794749403341,266.0,380.0,896.0,482.0
CD,im2col,4,L2Cache,12,0.5746785361028685,0.5487661574618097,258.0,378.0,904.0,482.0
CD,im2col,4,L2Cache,13,0.5796676441837733,0.5626423690205011,285.0,378.0,901.0,482.0
CD,im2col,4,L2Cache,14,0.5765632693254554,0.5471698113207547,270.0,378.0,901.0,482.0
CD,im2col,4,L2Cache,15,0.5621181262729125,0.5241635687732342,253.0,378.0,851.0,482.0
CD,im2col,5,L1SCache,,0.9952267303102625,,10008.0,48.0,0.0,0.0
CD,im2col,5,L1ICache,,0.9931246866719187,,41601.0,288.0,0.0,0.0
CD,im2col,5,L2Cache,0,0.5862831858407079,0.2756756756756757,65.0,393.0,730.0,168.0
CD,im2col,5,L2Cache,1,0.5763097949886105,0.24293785310734464,62.0,390.0,697.0,168.0
