scheme,workload,comp_type,hit_rate,remote_hit_rate,read_hit,read_miss,read_mshr_hit,write_hit,write_miss,write_mshr_hit,remote_read_hit,remote_read_miss,remote_write_hit,remote_write_miss
CD,im2col,L1SCache,0.995710455764075,N/A,44568.0,192.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD,im2col,L1ICache,0.9938215986613463,N/A,185304.0,1152.0,11412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD,im2col,L2Cache,0.5852465619425744,0.5428424947617136,16883.0,23641.0,13335.0,54314.0,26815.0,16764.0,9273.0,4200.0,15080.0,16309.0
CD,im2col,L1VTLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
CD,im2col,L1STLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
CD,im2col,L1ITLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
CD,im2col,L2TLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
CD,matrixmultiplication,L1SCache,0.9795918367346939,N/A,6144.0,128.0,1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD,matrixmultiplication,L1ICache,0.9995352378718736,N/A,3716303.0,1728.0,16221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD,matrixmultiplication,L2Cache,0.5486669525856354,0.3435855104764263,427302.0,280694.0,633252.0,31969.0,97102.0,10536.0,122722.0,192064.0,2149.0,46500.0
CD,matrixmultiplication,L1VTLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
CD,matrixmultiplication,L1STLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
CD,matrixmultiplication,L1ITLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
CD,matrixmultiplication,L2TLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
REC,im2col,L1SCache,0.995710455764075,N/A,44568.0,192.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC,im2col,L1ICache,0.9938215986613463,N/A,185304.0,1152.0,11412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC,im2col,L2Cache,0.6312685443676279,0.6202222222222222,23103.0,23642.0,7116.0,63276.0,26813.0,11563.0,14639.0,4200.0,18853.0,16308.0
REC,im2col,L1VTLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
REC,im2col,L1STLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
REC,im2col,L1ITLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
REC,im2col,L2TLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
REC,matrixmultiplication,L1SCache,0.9795918367346939,N/A,6144.0,128.0,1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC,matrixmultiplication,L1ICache,0.9995352399969016,N/A,3716320.0,1728.0,16235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC,matrixmultiplication,L2Cache,0.5207812439511796,0.23139225825158266,382643.0,272135.0,686478.0,7481.0,86854.0,9935.0,69560.0,192072.0,2263.0,46500.0
REC,matrixmultiplication,L1VTLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
REC,matrixmultiplication,L1STLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
REC,matrixmultiplication,L1ITLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
REC,matrixmultiplication,L2TLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
REC,pagerank,L1SCache,0.9988649262202043,N/A,450560.0,512.0,7680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC,pagerank,L1ICache,0.9989413620166545,N/A,3140334.0,3328.0,23510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC,pagerank,L2Cache,0.7864660689668094,0.8637070025157433,4150180.0,1180814.0,13478.0,215188.0,4430.0,5164.0,3115049.0,503478.0,91224.0,2472.0
