scheme,workload,total_bytes,inv_req_bytes,inv_ratio
CD,im2col,8304148.0,312.0,3.7571584706823625e-05
CD,matrixmultiplication,44679068.0,3117288.0,0.06977065860013015
REC,im2col,8907136.0,72.0,8.083406383376205e-06
REC,matrixmultiplication,37693248.0,0.0,0.0
REC,pagerank,96510208.0,423456.0,0.004387680938372861
HMG,im2col,8324400.0,480.0,5.766181346403344e-05
HMG,matrixmultiplication,40459680.0,0.0,0.0
HMG,pagerank,96210880.0,41472.0,0.0004310531199797778
superdirectory,bfs,33935112.0,0.0,0.0
superdirectory,im2col,8322208.0,288.0,3.460620066213197e-05
superdirectory,matrixmultiplication,44536056.0,144.0,3.233335255371513e-06
superdirectory,pagerank,96996488.0,113976.0,0.001175052853460014
