scheme,workload,total_bytes,read_req_bytes,read_rsp_bytes,write_req_bytes,write_rsp_bytes,inv_req_bytes,inv_rsp_bytes,inv_ratio,incoming_trans,outgoing_trans
CD,im2col,8304148.0,492216.0,2789224.0,4771128.0,251164.0,312.0,104.0,3.7571584706823625e-05,155759.0,51898.0
CD,matrixmultiplication,44679068.0,4895232.0,27739648.0,7447392.0,440412.0,3117288.0,1039096.0,0.06977065860013015,1290551.0,252964.0
REC,im2col,8907136.0,492192.0,2789088.0,5344472.0,281288.0,72.0,24.0,8.083406383376205e-06,167019.0,55669.0
REC,matrixmultiplication,37693248.0,4895424.0,27740736.0,4850928.0,206160.0,0.0,0.0,0.0,695382.0,235890.0
REC,pagerank,96510208.0,12142800.0,68809200.0,14243920.0,749680.0,423456.0,141152.0,0.004387680938372861,1869556.0,599660.0
HMG,im2col,8324400.0,492216.0,2789224.0,4790128.0,252192.0,480.0,160.0,5.766181346403344e-05,156169.0,52023.0
HMG,matrixmultiplication,40459680.0,4895424.0,27740736.0,7432344.0,391176.0,0.0,0.0,0.0,758619.0,252873.0
HMG,pagerank,96210880.0,12342912.0,69943168.0,13173840.0,695664.0,41472.0,13824.0,0.0004310531199797778,1810362.0,600958.0
superdirectory,bfs,33935112.0,4998144.0,28934408.0,2432.0,128.0,0.0,0.0,0.0,633810.0,208272.0
superdirectory,im2col,8322208.0,478368.0,2833152.0,4759880.0,250424.0,288.0,96.0,3.460620066213197e-05,155565.0,51247.0
superdirectory,matrixmultiplication,44536056.0,4379736.0,32200448.0,7557896.0,397784.0,144.0,48.0,3.233335255371513e-06,805218.0,232212.0
superdirectory,pagerank,96996488.0,12244608.0,70673352.0,13230232.0,696328.0,113976.0,37992.0,0.001175052853460014,1829625.0,597233.0
