workload,bank_idx,bank_size,UpdateEntry,bank_pct,InvalidateByWrite,InvalidateByEviction,InvalidateByPromotion,InvalidateByDemotion
bfs,0,16KB,3,0.002104672372667321,0,0,0,0
bfs,1,4KB,55,0.03858566016556756,0,0,0,0
bfs,2,1KB,17,0.011926476778448155,0,0,0,0
bfs,3,256B,4,0.002806229830223095,0,0,0,0
bfs,4,64B,142461,99.9445769608531,0,0,0,0
bfs,5,bank5,0,0.0,0,0,0,0
bfs,6,bank6,0,0.0,0,0,0,0
im2col,0,16KB,0,0.0,0,0,0,0
im2col,1,4KB,6,0.030714102892244688,0,0,0,0
im2col,2,1KB,25,0.12797542871768622,0,0,0,0
im2col,3,256B,49,0.25083184028666494,8,0,0,0
im2col,4,64B,19455,99.59047862810341,4,0,0,0
im2col,5,bank5,0,0.0,0,0,0,0
im2col,6,bank6,0,0.0,0,0,0,0
matrixmultiplication,0,16KB,147,0.19590857599786765,0,0,0,0
matrixmultiplication,1,4KB,134,0.17858332778036917,0,0,0,0
matrixmultiplication,2,1KB,322,0.4291330712334244,0,0,0,0
matrixmultiplication,3,256B,1174,1.564603185180249,0,0,0,0
matrixmultiplication,4,64B,73258,97.6317718398081,0,6,0,0
matrixmultiplication,5,bank5,0,0.0,0,0,0,0
matrixmultiplication,6,bank6,0,0.0,0,0,0,0
pagerank,0,16KB,14,0.010691511703386919,38,0,0,0
pagerank,1,4KB,57,0.04352972622093245,120,0,0,0
pagerank,2,1KB,104,0.0794226583680171,341,0,0,0
pagerank,3,256B,248,0.18939249303142539,897,0,118,0
pagerank,4,64B,130522,99.67696361067624,2642,593,0,0
pagerank,5,bank5,0,0.0,0,0,0,0
pagerank,6,bank6,0,0.0,0,0,0,0
