Location,What,Value,Unit
GPU[2].SuperDir,UpdateEntry,95781.0,count
GPU[2].SuperDir,InvalidateByEviction,0.0,count
GPU[2].SuperDir,InvalidateByWrite,2103.0,count
GPU[2].SuperDir,ToLocalData,1946509.0,count
GPU[2].SuperDir,ToRemoteData,1244811.0,count
GPU[2].SuperDir,FromLocal,2839524.0,count
GPU[2].SuperDir,FromRemote,351796.0,count
GPU[3].SuperDir,UpdateEntry,139436.0,count
GPU[3].SuperDir,InvalidateByEviction,0.0,count
GPU[3].SuperDir,InvalidateByWrite,1870.0,count
GPU[3].SuperDir,InvalidateByDemotion,42.0,count
GPU[3].SuperDir,ToLocalData,1334399.0,count
GPU[3].SuperDir,ToRemoteData,1918487.0,count
GPU[3].SuperDir,FromLocal,2858579.0,count
GPU[3].SuperDir,FromRemote,394307.0,count
GPU[4].SuperDir,UpdateEntry,88162.0,count
GPU[4].SuperDir,InvalidateByEviction,0.0,count
GPU[4].SuperDir,InvalidateByWrite,0.0,count
GPU[4].SuperDir,ToLocalData,440968.0,count
GPU[4].SuperDir,ToRemoteData,2733773.0,count
GPU[4].SuperDir,FromLocal,2893313.0,count
GPU[4].SuperDir,FromRemote,281428.0,count
GPU[5].SuperDir,UpdateEntry,187239.0,count
GPU[5].SuperDir,InvalidateByEviction,0.0,count
GPU[5].SuperDir,InvalidateByWrite,0.0,count
GPU[5].SuperDir,ToLocalData,484831.0,count
GPU[5].SuperDir,ToRemoteData,2628766.0,count
GPU[5].SuperDir,FromLocal,2782096.0,count
GPU[5].SuperDir,FromRemote,331501.0,count
GPU[2].SuperDir,UpdateEntry - 0,8.0,count
GPU[2].SuperDir,InvalidateByEviction - 0,0.0,count
GPU[2].SuperDir,InvalidateByWrite - 0,14.0,count
GPU[2].SuperDir,InvalidateByPromotion - 0,0.0,count
GPU[2].SuperDir,InvalidateByDemotion - 0,0.0,count
GPU[2].SuperDir,UpdateEntry - 1,11.0,count
