Location,What,Value,Unit
GPU[2].SuperDir,UpdateEntry,39296.0,count
GPU[2].SuperDir,InvalidateByEviction,0.0,count
GPU[2].SuperDir,InvalidateByWrite,0.0,count
GPU[2].SuperDir,ToLocalData,128855.0,count
GPU[2].SuperDir,ToRemoteData,76608.0,count
GPU[2].SuperDir,FromLocal,120400.0,count
GPU[2].SuperDir,FromRemote,85063.0,count
GPU[3].SuperDir,UpdateEntry,66688.0,count
GPU[3].SuperDir,InvalidateByEviction,0.0,count
GPU[3].SuperDir,InvalidateByWrite,0.0,count
GPU[3].SuperDir,ToLocalData,118170.0,count
GPU[3].SuperDir,ToRemoteData,90752.0,count
GPU[3].SuperDir,FromLocal,120400.0,count
GPU[3].SuperDir,FromRemote,88522.0,count
GPU[4].SuperDir,UpdateEntry,43392.0,count
GPU[4].SuperDir,InvalidateByEviction,0.0,count
GPU[4].SuperDir,InvalidateByWrite,0.0,count
GPU[4].SuperDir,ToLocalData,101575.0,count
GPU[4].SuperDir,ToRemoteData,74432.0,count
GPU[4].SuperDir,FromLocal,120400.0,count
GPU[4].SuperDir,FromRemote,55607.0,count
GPU[5].SuperDir,UpdateEntry,39360.0,count
GPU[5].SuperDir,InvalidateByEviction,0.0,count
GPU[5].SuperDir,InvalidateByWrite,0.0,count
GPU[5].SuperDir,ToLocalData,121836.0,count
GPU[5].SuperDir,ToRemoteData,89792.0,count
GPU[5].SuperDir,FromLocal,119120.0,count
GPU[5].SuperDir,FromRemote,92508.0,count
GPU[2].SuperDir,UpdateEntry - 4,39296.0,count
GPU[2].SuperDir,InvalidateByEviction - 4,0.0,count
GPU[2].SuperDir,InvalidateByWrite - 4,0.0,count
GPU[2].SuperDir,InvalidateByPromotion - 4,0.0,count
GPU[2].SuperDir,InvalidateByDemotion - 4,0.0,count
GPU[3].SuperDir,UpdateEntry - 4,66688.0,count
GPU[3].SuperDir,InvalidateByEviction - 4,0.0,count
GPU[3].SuperDir,InvalidateByWrite - 4,0.0,count
GPU[3].SuperDir,InvalidateByPromotion - 4,0.0,count
GPU[3].SuperDir,InvalidateByDemotion - 4,0.0,count
GPU[4].SuperDir,UpdateEntry - 4,43392.0,count
GPU[4].SuperDir,InvalidateByEviction - 4,0.0,count
GPU[4].SuperDir,InvalidateByWrite - 4,0.0,count
GPU[4].SuperDir,InvalidateByPromotion - 4,0.0,count
GPU[4].SuperDir,InvalidateByDemotion - 4,0.0,count
GPU[5].SuperDir,UpdateEntry - 4,39360.0,count
GPU[5].SuperDir,InvalidateByEviction - 4,0.0,count
GPU[5].SuperDir,InvalidateByWrite - 4,0.0,count
GPU[5].SuperDir,InvalidateByPromotion - 4,0.0,count
GPU[5].SuperDir,InvalidateByDemotion - 4,0.0,count
GPU[2].SuperDir,BankChecked - 5,63177.0,count
GPU[2].SuperDir,BankChecked - 6,54.0,count
GPU[2].SuperDir,BankChecked - 7,7.0,count
GPU[2].SuperDir,BankChecked - 8,2.0,count
GPU[3].SuperDir,BankChecked - 5,61806.0,count
GPU[3].SuperDir,BankChecked - 6,69.0,count
GPU[3].SuperDir,BankChecked - 7,7.0,count
GPU[4].SuperDir,BankChecked - 5,69001.0,count
GPU[4].SuperDir,BankChecked - 6,48.0,count
GPU[4].SuperDir,BankChecked - 7,9.0,count
GPU[5].SuperDir,BankChecked - 5,69154.0,count
GPU[5].SuperDir,BankChecked - 6,254.0,count
GPU[5].SuperDir,BankChecked - 7,43.0,count
GPU[5].SuperDir,BankChecked - 8,2.0,count
GPU[5].SuperDir,BankChecked - 9,4.0,count
GPU[2].SuperDir,GetBankCount - 5,96007.0,count
GPU[3].SuperDir,GetBankCount - 5,112714.0,count
GPU[4].SuperDir,GetBankCount - 5,88375.0,count
GPU[5].SuperDir,GetBankCount - 5,121756.0,count
GPU[2].RDMA,Read Req 12,66688.0,count
GPU[2].RDMA,Read Rsp 68,66688.0,count
GPU[2].RDMA,Write Req 76,93447.0,count
GPU[2].RDMA,Write Rsp 4,93447.0,count
GPU[3].RDMA,Write Req 76,57802.0,count
GPU[3].RDMA,Write Rsp 4,57802.0,count
GPU[3].RDMA,Read Req 12,121472.0,count
GPU[3].RDMA,Read Rsp 68,121472.0,count
GPU[4].RDMA,Read Req 12,90432.0,count
GPU[4].RDMA,Read Rsp 68,90432.0,count
GPU[4].RDMA,Write Req 76,37323.0,count
GPU[4].RDMA,Write Rsp 4,37323.0,count
GPU[5].RDMA,Read Req 12,98880.0,count
GPU[5].RDMA,Read Rsp 68,98880.0,count
GPU[5].RDMA,Write Req 76,77356.0,count
GPU[5].RDMA,Write Rsp 4,77356.0,count
GPU[1].SuperDir,avg_evict_utilization,0.0,ratio
GPU[1].SuperDir,evict_count,0.0,count
GPU[2].SuperDir,avg_evict_utilization,0.0,ratio
GPU[2].SuperDir,evict_count,0.0,count
GPU[3].SuperDir,avg_evict_utilization,0.0,ratio
GPU[3].SuperDir,evict_count,0.0,count
GPU[4].SuperDir,avg_evict_utilization,0.0,ratio
GPU[4].SuperDir,evict_count,0.0,count
GPU[5].SuperDir,avg_evict_utilization,0.0,ratio
GPU[5].SuperDir,evict_count,0.0,count
GPU[1].SuperDir,allocation_count,0.0,count
GPU[1].SuperDir,stall_mshr_full,0.0,count
GPU[1].SuperDir,stall_subentry_locked,0.0,count
GPU[1].SuperDir,stall_victim_locked,0.0,count
GPU[1].SuperDir,stall_bottom_buf_full,0.0,count
GPU[1].SuperDir,stall_inflight_inv,0.0,count
GPU[1].SuperDir,stall_top_port_busy,0.0,count
GPU[1].SuperDir,total_dowrite_calls,0.0,count
GPU[1].SuperDir,remote_accept_count,0.0,count
GPU[1].SuperDir,stall_mshr_buf_full,0.0,count
GPU[1].SuperDir,op5a_shortcut_with_remote_sharer,0.0,count
GPU[1].SuperDir,do_write_miss,0.0,count
GPU[1].SuperDir,do_write_miss_remote,0.0,count
GPU[1].SuperDir,stall_bank_full,0.0,count
GPU[1].SuperDir,stall_evicting_list,0.0,count
GPU[1].SuperDir,stall_inflight_fetch,0.0,count
GPU[1].SuperDir,op5b_writer_cleared_at_finest_bank,0.0,count
GPU[1].SuperDir,stall_bottom_port_busy,0.0,count
GPU[2].SuperDir,stall_inflight_fetch,445689.0,count
GPU[2].SuperDir,stall_bottom_port_busy,0.0,count
GPU[2].SuperDir,op5b_writer_cleared_at_finest_bank,0.0,count
GPU[2].SuperDir,do_write_miss,96007.0,count
GPU[2].SuperDir,stall_inflight_inv,0.0,count
GPU[2].SuperDir,stall_top_port_busy,42.0,count
GPU[2].SuperDir,remote_accept_count,167547.0,count
GPU[2].SuperDir,do_write_miss_remote,85063.0,count
GPU[2].SuperDir,stall_bank_full,0.0,count
GPU[2].SuperDir,stall_evicting_list,0.0,count
GPU[2].SuperDir,total_dowrite_calls,4220839.0,count
GPU[2].SuperDir,allocation_count,85063.0,count
GPU[2].SuperDir,op5a_shortcut_with_remote_sharer,0.0,count
GPU[2].SuperDir,stall_mshr_full,0.0,count
GPU[2].SuperDir,stall_subentry_locked,0.0,count
GPU[2].SuperDir,stall_victim_locked,0.0,count
GPU[2].SuperDir,stall_bottom_buf_full,249767.0,count
GPU[2].SuperDir,stall_mshr_buf_full,0.0,count
GPU[3].SuperDir,stall_bottom_buf_full,4033498.0,count
GPU[3].SuperDir,stall_mshr_buf_full,0.0,count
GPU[3].SuperDir,stall_bank_full,0.0,count
GPU[3].SuperDir,stall_top_port_busy,198.0,count
GPU[3].SuperDir,total_dowrite_calls,7032848.0,count
GPU[3].SuperDir,op5a_shortcut_with_remote_sharer,0.0,count
GPU[3].SuperDir,remote_accept_count,115143.0,count
GPU[3].SuperDir,do_write_miss,801110.0,count
GPU[3].SuperDir,stall_victim_locked,0.0,count
GPU[3].SuperDir,stall_inflight_inv,0.0,count
GPU[3].SuperDir,stall_bottom_port_busy,62512.0,count
GPU[3].SuperDir,op5b_writer_cleared_at_finest_bank,0.0,count
GPU[3].SuperDir,do_write_miss_remote,88522.0,count
GPU[3].SuperDir,stall_mshr_full,0.0,count
GPU[3].SuperDir,stall_subentry_locked,0.0,count
GPU[3].SuperDir,stall_inflight_fetch,1310944.0,count
GPU[3].SuperDir,allocation_count,88522.0,count
GPU[3].SuperDir,stall_evicting_list,0.0,count
GPU[4].SuperDir,allocation_count,55607.0,count
GPU[4].SuperDir,stall_evicting_list,0.0,count
GPU[4].SuperDir,stall_victim_locked,0.0,count
GPU[4].SuperDir,stall_mshr_buf_full,0.0,count
GPU[4].SuperDir,stall_bottom_port_busy,0.0,count
GPU[4].SuperDir,op5b_writer_cleared_at_finest_bank,0.0,count
GPU[4].SuperDir,do_write_miss_remote,55607.0,count
GPU[4].SuperDir,stall_subentry_locked,0.0,count
GPU[4].SuperDir,stall_bank_full,0.0,count
GPU[4].SuperDir,stall_bottom_buf_full,400606.0,count
GPU[4].SuperDir,total_dowrite_calls,3037531.0,count
GPU[4].SuperDir,stall_mshr_full,0.0,count
GPU[4].SuperDir,stall_inflight_fetch,361918.0,count
GPU[4].SuperDir,stall_top_port_busy,0.0,count
GPU[4].SuperDir,op5a_shortcut_with_remote_sharer,0.0,count
GPU[4].SuperDir,remote_accept_count,248544.0,count
GPU[4].SuperDir,do_write_miss,88839.0,count
GPU[4].SuperDir,stall_inflight_inv,0.0,count
GPU[5].SuperDir,stall_inflight_inv,0.0,count
GPU[5].SuperDir,allocation_count,92508.0,count
GPU[5].SuperDir,do_write_miss_remote,92508.0,count
GPU[5].SuperDir,stall_evicting_list,0.0,count
GPU[5].SuperDir,stall_victim_locked,0.0,count
GPU[5].SuperDir,stall_bottom_buf_full,3278256.0,count
GPU[5].SuperDir,stall_mshr_buf_full,0.0,count
GPU[5].SuperDir,total_dowrite_calls,9435740.0,count
GPU[5].SuperDir,op5a_shortcut_with_remote_sharer,0.0,count
GPU[5].SuperDir,remote_accept_count,590979.0,count
GPU[5].SuperDir,do_write_miss,373420.0,count
GPU[5].SuperDir,stall_mshr_full,0.0,count
GPU[5].SuperDir,stall_subentry_locked,0.0,count
GPU[5].SuperDir,stall_bank_full,0.0,count
GPU[5].SuperDir,stall_bottom_port_busy,590.0,count
GPU[5].SuperDir,stall_top_port_busy,0.0,count
GPU[5].SuperDir,op5b_writer_cleared_at_finest_bank,0.0,count
GPU[5].SuperDir,stall_inflight_fetch,1319477.0,count
