Location,What,Value,Unit
GPU[2].SuperDir,UpdateEntry,100797.0,count
GPU[2].SuperDir,InvalidateByEviction,0.0,count
GPU[2].SuperDir,InvalidateByWrite,2071.0,count
GPU[2].SuperDir,InvalidateByDemotion,6.0,count
GPU[2].SuperDir,ToLocalData,1944238.0,count
GPU[2].SuperDir,ToRemoteData,1242294.0,count
GPU[2].SuperDir,FromLocal,2834904.0,count
GPU[2].SuperDir,FromRemote,351628.0,count
GPU[3].SuperDir,UpdateEntry,148803.0,count
GPU[3].SuperDir,InvalidateByEviction,0.0,count
GPU[3].SuperDir,InvalidateByWrite,1588.0,count
GPU[3].SuperDir,InvalidateByPromotion,2.0,count
GPU[3].SuperDir,InvalidateByDemotion,30.0,count
GPU[3].SuperDir,ToLocalData,1334642.0,count
GPU[3].SuperDir,ToRemoteData,1921539.0,count
GPU[3].SuperDir,FromLocal,2862451.0,count
GPU[3].SuperDir,FromRemote,393730.0,count
GPU[4].SuperDir,UpdateEntry,86638.0,count
GPU[4].SuperDir,InvalidateByEviction,0.0,count
GPU[4].SuperDir,InvalidateByWrite,0.0,count
GPU[4].SuperDir,ToLocalData,441046.0,count
GPU[4].SuperDir,ToRemoteData,2734429.0,count
GPU[4].SuperDir,FromLocal,2893893.0,count
GPU[4].SuperDir,FromRemote,281582.0,count
GPU[5].SuperDir,UpdateEntry,191259.0,count
GPU[5].SuperDir,InvalidateByEviction,0.0,count
GPU[5].SuperDir,InvalidateByWrite,0.0,count
GPU[5].SuperDir,ToLocalData,486172.0,count
GPU[5].SuperDir,ToRemoteData,2634709.0,count
GPU[5].SuperDir,FromLocal,2788065.0,count
GPU[5].SuperDir,FromRemote,332816.0,count
GPU[2].SuperDir,UpdateEntry - 0,7.0,count
GPU[2].SuperDir,InvalidateByEviction - 0,0.0,count
GPU[2].SuperDir,InvalidateByWrite - 0,12.0,count
GPU[2].SuperDir,InvalidateByPromotion - 0,0.0,count
GPU[2].SuperDir,InvalidateByDemotion - 0,0.0,count
GPU[2].SuperDir,UpdateEntry - 1,19.0,count
GPU[2].SuperDir,InvalidateByEviction - 1,0.0,count
GPU[2].SuperDir,InvalidateByWrite - 1,50.0,count
GPU[2].SuperDir,InvalidateByPromotion - 1,0.0,count
GPU[2].SuperDir,InvalidateByDemotion - 1,0.0,count
GPU[2].SuperDir,UpdateEntry - 2,53.0,count
GPU[2].SuperDir,InvalidateByEviction - 2,0.0,count
GPU[2].SuperDir,InvalidateByWrite - 2,156.0,count
