Location,What,Value,Unit
GPU[2].SuperDir,UpdateEntry,75329.0,count
GPU[2].SuperDir,InvalidateByEviction,0.0,count
GPU[2].SuperDir,InvalidateByWrite,0.0,count
GPU[2].SuperDir,ToLocalData,1505882.0,count
GPU[2].SuperDir,ToRemoteData,1488480.0,count
GPU[2].SuperDir,FromLocal,2831118.0,count
GPU[2].SuperDir,FromRemote,163244.0,count
GPU[3].SuperDir,UpdateEntry,38596.0,count
GPU[3].SuperDir,InvalidateByEviction,0.0,count
GPU[3].SuperDir,InvalidateByWrite,67.0,count
GPU[3].SuperDir,ToLocalData,668960.0,count
GPU[3].SuperDir,ToRemoteData,2148000.0,count
GPU[3].SuperDir,FromLocal,2667076.0,count
GPU[3].SuperDir,FromRemote,149884.0,count
GPU[4].SuperDir,UpdateEntry,38531.0,count
GPU[4].SuperDir,InvalidateByEviction,0.0,count
GPU[4].SuperDir,InvalidateByWrite,55.0,count
GPU[4].SuperDir,ToLocalData,686329.0,count
GPU[4].SuperDir,ToRemoteData,2113053.0,count
GPU[4].SuperDir,FromLocal,2623117.0,count
GPU[4].SuperDir,FromRemote,176265.0,count
GPU[5].SuperDir,UpdateEntry,38868.0,count
GPU[5].SuperDir,InvalidateByEviction,0.0,count
GPU[5].SuperDir,InvalidateByWrite,34.0,count
GPU[5].SuperDir,ToLocalData,652639.0,count
GPU[5].SuperDir,ToRemoteData,1775399.0,count
GPU[5].SuperDir,FromLocal,2242619.0,count
GPU[5].SuperDir,FromRemote,185419.0,count
GPU[2].SuperDir,UpdateEntry - 0,68.0,count
GPU[2].SuperDir,InvalidateByEviction - 0,0.0,count
GPU[2].SuperDir,InvalidateByWrite - 0,0.0,count
GPU[2].SuperDir,InvalidateByPromotion - 0,0.0,count
GPU[2].SuperDir,InvalidateByDemotion - 0,0.0,count
GPU[2].SuperDir,UpdateEntry - 1,144.0,count
GPU[2].SuperDir,InvalidateByEviction - 1,0.0,count
GPU[2].SuperDir,InvalidateByWrite - 1,0.0,count
GPU[2].SuperDir,InvalidateByPromotion - 1,0.0,count
GPU[2].SuperDir,InvalidateByDemotion - 1,0.0,count
GPU[2].SuperDir,UpdateEntry - 2,715.0,count
GPU[2].SuperDir,InvalidateByEviction - 2,0.0,count
GPU[2].SuperDir,InvalidateByWrite - 2,0.0,count
GPU[2].SuperDir,InvalidateByPromotion - 2,0.0,count
GPU[2].SuperDir,InvalidateByDemotion - 2,0.0,count
GPU[2].SuperDir,UpdateEntry - 3,5856.0,count
GPU[2].SuperDir,InvalidateByEviction - 3,0.0,count
GPU[2].SuperDir,InvalidateByWrite - 3,0.0,count
GPU[2].SuperDir,InvalidateByPromotion - 3,0.0,count
