Location,What,Value,Unit
GPU[2].SuperDir,UpdateEntry,164979.0,count
GPU[2].SuperDir,InvalidateByEviction,0.0,count
GPU[2].SuperDir,InvalidateByWrite,2082.0,count
GPU[2].SuperDir,InvalidateByPromotion,2.0,count
GPU[2].SuperDir,ToLocalData,1945662.0,count
GPU[2].SuperDir,ToRemoteData,1242794.0,count
GPU[2].SuperDir,FromLocal,2836857.0,count
GPU[2].SuperDir,FromRemote,351599.0,count
GPU[3].SuperDir,UpdateEntry,182331.0,count
GPU[3].SuperDir,InvalidateByEviction,1.0,count
GPU[3].SuperDir,InvalidateByWrite,2845.0,count
GPU[3].SuperDir,InvalidateByPromotion,3.0,count
GPU[3].SuperDir,InvalidateByDemotion,87.0,count
GPU[3].SuperDir,ToLocalData,1333152.0,count
GPU[3].SuperDir,ToRemoteData,1920850.0,count
GPU[3].SuperDir,FromLocal,2861772.0,count
GPU[3].SuperDir,FromRemote,392230.0,count
GPU[4].SuperDir,UpdateEntry,139566.0,count
GPU[4].SuperDir,InvalidateByEviction,0.0,count
GPU[4].SuperDir,InvalidateByWrite,0.0,count
GPU[4].SuperDir,ToLocalData,440711.0,count
GPU[4].SuperDir,ToRemoteData,2730282.0,count
GPU[4].SuperDir,FromLocal,2889759.0,count
GPU[4].SuperDir,FromRemote,281234.0,count
GPU[5].SuperDir,UpdateEntry,209273.0,count
GPU[5].SuperDir,InvalidateByEviction,1.0,count
GPU[5].SuperDir,InvalidateByWrite,0.0,count
GPU[5].SuperDir,ToLocalData,486074.0,count
GPU[5].SuperDir,ToRemoteData,2628920.0,count
GPU[5].SuperDir,FromLocal,2782261.0,count
GPU[5].SuperDir,FromRemote,332733.0,count
GPU[2].SuperDir,UpdateEntry - 0,181.0,count
GPU[2].SuperDir,InvalidateByEviction - 0,0.0,count
GPU[2].SuperDir,InvalidateByWrite - 0,160.0,count
GPU[2].SuperDir,InvalidateByPromotion - 0,2.0,count
GPU[2].SuperDir,InvalidateByDemotion - 0,0.0,count
GPU[2].SuperDir,UpdateEntry - 1,395.0,count
GPU[2].SuperDir,InvalidateByEviction - 1,0.0,count
GPU[2].SuperDir,InvalidateByWrite - 1,480.0,count
GPU[2].SuperDir,InvalidateByPromotion - 1,0.0,count
GPU[2].SuperDir,InvalidateByDemotion - 1,0.0,count
GPU[2].SuperDir,UpdateEntry - 2,164403.0,count
GPU[2].SuperDir,InvalidateByEviction - 2,0.0,count
GPU[2].SuperDir,InvalidateByWrite - 2,1442.0,count
GPU[2].SuperDir,InvalidateByPromotion - 2,0.0,count
GPU[2].SuperDir,InvalidateByDemotion - 2,0.0,count
GPU[3].SuperDir,UpdateEntry - 0,161.0,count
GPU[3].SuperDir,InvalidateByEviction - 0,0.0,count
GPU[3].SuperDir,InvalidateByWrite - 0,248.0,count
GPU[3].SuperDir,InvalidateByPromotion - 0,2.0,count
GPU[3].SuperDir,InvalidateByDemotion - 0,0.0,count
GPU[3].SuperDir,UpdateEntry - 1,167.0,count
GPU[3].SuperDir,InvalidateByEviction - 1,0.0,count
GPU[3].SuperDir,InvalidateByWrite - 1,652.0,count
GPU[3].SuperDir,InvalidateByPromotion - 1,1.0,count
GPU[3].SuperDir,InvalidateByDemotion - 1,57.0,count
GPU[3].SuperDir,UpdateEntry - 2,182003.0,count
GPU[3].SuperDir,InvalidateByEviction - 2,1.0,count
GPU[3].SuperDir,InvalidateByWrite - 2,1945.0,count
GPU[3].SuperDir,InvalidateByPromotion - 2,0.0,count
GPU[3].SuperDir,InvalidateByDemotion - 2,30.0,count
GPU[4].SuperDir,UpdateEntry - 1,2.0,count
GPU[4].SuperDir,InvalidateByEviction - 1,0.0,count
GPU[4].SuperDir,InvalidateByWrite - 1,0.0,count
GPU[4].SuperDir,InvalidateByPromotion - 1,0.0,count
GPU[4].SuperDir,InvalidateByDemotion - 1,0.0,count
GPU[4].SuperDir,UpdateEntry - 2,139564.0,count
GPU[4].SuperDir,InvalidateByEviction - 2,0.0,count
GPU[4].SuperDir,InvalidateByWrite - 2,0.0,count
GPU[4].SuperDir,InvalidateByPromotion - 2,0.0,count
GPU[4].SuperDir,InvalidateByDemotion - 2,0.0,count
