Location,What,Value,Unit
GPU[2].SuperDir,UpdateEntry,60491.0,count
GPU[2].SuperDir,InvalidateByEviction,0.0,count
GPU[2].SuperDir,InvalidateByWrite,0.0,count
GPU[2].SuperDir,ToLocalData,1507285.0,count
GPU[2].SuperDir,ToRemoteData,1488480.0,count
GPU[2].SuperDir,FromLocal,2831594.0,count
GPU[2].SuperDir,FromRemote,164171.0,count
GPU[3].SuperDir,UpdateEntry,39739.0,count
GPU[3].SuperDir,InvalidateByEviction,0.0,count
GPU[3].SuperDir,InvalidateByWrite,66.0,count
GPU[3].SuperDir,ToLocalData,661737.0,count
GPU[3].SuperDir,ToRemoteData,2158314.0,count
GPU[3].SuperDir,FromLocal,2677390.0,count
GPU[3].SuperDir,FromRemote,142661.0,count
GPU[4].SuperDir,UpdateEntry,39671.0,count
GPU[4].SuperDir,InvalidateByEviction,0.0,count
GPU[4].SuperDir,InvalidateByWrite,0.0,count
GPU[4].SuperDir,ToLocalData,686166.0,count
GPU[4].SuperDir,ToRemoteData,2109645.0,count
GPU[4].SuperDir,FromLocal,2619709.0,count
GPU[4].SuperDir,FromRemote,176102.0,count
GPU[5].SuperDir,UpdateEntry,39735.0,count
GPU[5].SuperDir,InvalidateByEviction,0.0,count
GPU[5].SuperDir,InvalidateByWrite,22.0,count
GPU[5].SuperDir,ToLocalData,654340.0,count
GPU[5].SuperDir,ToRemoteData,1760709.0,count
GPU[5].SuperDir,FromLocal,2227929.0,count
GPU[5].SuperDir,FromRemote,187120.0,count
GPU[2].SuperDir,UpdateEntry - 0,581.0,count
GPU[2].SuperDir,InvalidateByEviction - 0,0.0,count
GPU[2].SuperDir,InvalidateByWrite - 0,0.0,count
GPU[2].SuperDir,InvalidateByPromotion - 0,0.0,count
GPU[2].SuperDir,InvalidateByDemotion - 0,0.0,count
GPU[2].SuperDir,UpdateEntry - 1,785.0,count
GPU[2].SuperDir,InvalidateByEviction - 1,0.0,count
GPU[2].SuperDir,InvalidateByWrite - 1,0.0,count
GPU[2].SuperDir,InvalidateByPromotion - 1,0.0,count
GPU[2].SuperDir,InvalidateByDemotion - 1,0.0,count
GPU[2].SuperDir,UpdateEntry - 2,3014.0,count
GPU[2].SuperDir,InvalidateByEviction - 2,0.0,count
GPU[2].SuperDir,InvalidateByWrite - 2,0.0,count
GPU[2].SuperDir,InvalidateByPromotion - 2,0.0,count
GPU[2].SuperDir,InvalidateByDemotion - 2,0.0,count
