Location,What,Value,Unit
GPU[2].CohDir,UpdateEntry,39536.0,count
GPU[2].CohDir,InvalidateByEviction,15823.0,count
GPU[2].CohDir,InvalidateByWrite,0.0,count
GPU[2].CohDir,ToLocalData,186200.0,count
GPU[2].CohDir,ToRemoteData,167818.0,count
GPU[2].CohDir,FromLocal,304416.0,count
GPU[2].CohDir,FromRemote,49602.0,count
GPU[3].CohDir,UpdateEntry,1958.0,count
GPU[3].CohDir,InvalidateByEviction,0.0,count
GPU[3].CohDir,InvalidateByWrite,0.0,count
GPU[3].CohDir,ToLocalData,11492.0,count
GPU[3].CohDir,ToRemoteData,295848.0,count
GPU[3].CohDir,FromLocal,304416.0,count
GPU[3].CohDir,FromRemote,2924.0,count
GPU[4].CohDir,UpdateEntry,103336.0,count
GPU[4].CohDir,InvalidateByEviction,59246.0,count
GPU[4].CohDir,InvalidateByWrite,0.0,count
GPU[4].CohDir,ToLocalData,188651.0,count
GPU[4].CohDir,ToRemoteData,221175.0,count
GPU[4].CohDir,FromLocal,304416.0,count
GPU[4].CohDir,FromRemote,105410.0,count
GPU[5].CohDir,UpdateEntry,93020.0,count
GPU[5].CohDir,InvalidateByEviction,51993.0,count
GPU[5].CohDir,InvalidateByWrite,0.0,count
GPU[5].CohDir,ToLocalData,169138.0,count
GPU[5].CohDir,ToRemoteData,228548.0,count
GPU[5].CohDir,FromLocal,302532.0,count
GPU[5].CohDir,FromRemote,95154.0,count
GPU[2].RDMA,Read Req 12,79042.0,count
GPU[2].RDMA,Read Rsp 68,79042.0,count
GPU[2].RDMA,Inv Req 12,67801.0,count
GPU[2].RDMA,Inv Rsp 4,67801.0,count
GPU[2].RDMA,Write Req 76,40784.0,count
GPU[2].RDMA,Write Rsp 4,50884.0,count
GPU[3].RDMA,Read Req 12,67374.0,count
GPU[3].RDMA,Read Rsp 68,67374.0,count
GPU[3].RDMA,Inv Req 12,22399.0,count
GPU[3].RDMA,Inv Rsp 4,22399.0,count
GPU[3].RDMA,Write Req 76,12860.0,count
GPU[3].RDMA,Write Rsp 4,12860.0,count
GPU[4].RDMA,Read Req 12,135211.0,count
GPU[4].RDMA,Read Rsp 68,135211.0,count
GPU[4].RDMA,Inv Req 12,73909.0,count
GPU[4].RDMA,Inv Rsp 4,73909.0,count
GPU[4].RDMA,Write Req 76,22039.0,count
GPU[4].RDMA,Write Rsp 4,25446.0,count
GPU[5].RDMA,Read Req 12,127913.0,count
GPU[5].RDMA,Read Rsp 68,127913.0,count
GPU[5].RDMA,Inv Req 12,90015.0,count
GPU[5].RDMA,Inv Rsp 4,90015.0,count
GPU[5].RDMA,Write Req 76,20957.0,count
GPU[5].RDMA,Write Rsp 4,24583.0,count
GPU[1].CohDir,act_EvictAndInsertNew,0.0,count
GPU[1].CohDir,act_InvalidateAndUpdate,0.0,count
GPU[1].CohDir,stall_inflight_fetch,0.0,count
GPU[1].CohDir,wait_bottom_ns_bypass,0.0,count
GPU[1].CohDir,op5a_shortcut_with_remote_sharer,0.0,count
GPU[1].CohDir,stall_victim_locked,0.0,count
GPU[1].CohDir,wait_count_bypass,0.0,count
GPU[1].CohDir,wait_count_fast,0.0,count
GPU[1].CohDir,wait_dir_ns_bank,0.0,count
GPU[1].CohDir,act_UpdateEntry,0.0,count
GPU[1].CohDir,bottom_send_count,0.0,count
GPU[1].CohDir,mshr_forward_count,0.0,count
GPU[1].CohDir,stall_evicting_list,0.0,count
GPU[1].CohDir,act_InvalidateEntry,0.0,count
GPU[1].CohDir,stall_bank_full,0.0,count
GPU[1].CohDir,stall_mshr_buf_full,0.0,count
GPU[1].CohDir,stall_bottom_port_busy,0.0,count
GPU[1].CohDir,stall_top_port_busy,0.0,count
GPU[1].CohDir,wait_bottom_ns_bank,0.0,count
GPU[1].CohDir,stall_mshr_full,0.0,count
GPU[1].CohDir,total_dowrite_calls,0.0,count
GPU[1].CohDir,op5b_remote_write_hit_cleared_writer,0.0,count
GPU[1].CohDir,stall_block_locked,0.0,count
GPU[1].CohDir,wait_dir_ns_bypass,0.0,count
GPU[1].CohDir,wait_dir_ns_fast,0.0,count
GPU[1].CohDir,stall_bottom_buf_full,0.0,count
GPU[1].CohDir,stall_inflight_inv,0.0,count
GPU[1].CohDir,act_Nothing,0.0,count
GPU[1].CohDir,act_InsertNewEntry,0.0,count
