Location,What,Value,Unit
GPU[2].HMGDir,UpdateEntry,9763.0,count
GPU[2].HMGDir,InvalidateByEviction,1071.0,count
GPU[2].HMGDir,InvalidateByWrite,0.0,count
GPU[2].HMGDir,ToLocalData,186403.0,count
GPU[2].HMGDir,ToRemoteData,167818.0,count
GPU[2].HMGDir,FromLocal,304416.0,count
GPU[2].HMGDir,FromRemote,49805.0,count
GPU[3].HMGDir,UpdateEntry,655.0,count
GPU[3].HMGDir,InvalidateByEviction,0.0,count
GPU[3].HMGDir,InvalidateByWrite,0.0,count
GPU[3].HMGDir,ToLocalData,11179.0,count
GPU[3].HMGDir,ToRemoteData,295848.0,count
GPU[3].HMGDir,FromLocal,304416.0,count
GPU[3].HMGDir,FromRemote,2611.0,count
GPU[4].HMGDir,UpdateEntry,26009.0,count
GPU[4].HMGDir,InvalidateByEviction,2870.0,count
GPU[4].HMGDir,InvalidateByWrite,0.0,count
GPU[4].HMGDir,ToLocalData,188364.0,count
GPU[4].HMGDir,ToRemoteData,221175.0,count
GPU[4].HMGDir,FromLocal,304416.0,count
GPU[4].HMGDir,FromRemote,105123.0,count
GPU[5].HMGDir,UpdateEntry,23434.0,count
GPU[5].HMGDir,InvalidateByEviction,1294.0,count
GPU[5].HMGDir,InvalidateByWrite,0.0,count
GPU[5].HMGDir,ToLocalData,168607.0,count
GPU[5].HMGDir,ToRemoteData,228548.0,count
GPU[5].HMGDir,FromLocal,302532.0,count
GPU[5].HMGDir,FromRemote,94623.0,count
GPU[2].RDMA,Read Req 12,78978.0,count
GPU[2].RDMA,Read Rsp 68,78978.0,count
GPU[2].RDMA,Write Req 76,40011.0,count
GPU[2].RDMA,Write Rsp 4,40305.0,count
GPU[2].RDMA,Inv Req 12,2439.0,count
GPU[2].RDMA,Inv Rsp 4,2439.0,count
GPU[3].RDMA,Read Req 12,67337.0,count
GPU[3].RDMA,Read Rsp 68,67337.0,count
GPU[3].RDMA,Write Req 76,12439.0,count
GPU[3].RDMA,Write Rsp 4,12439.0,count
GPU[3].RDMA,Inv Req 12,725.0,count
GPU[3].RDMA,Inv Rsp 4,725.0,count
GPU[4].RDMA,Read Req 12,135207.0,count
GPU[4].RDMA,Read Rsp 68,135207.0,count
GPU[4].RDMA,Write Req 76,22022.0,count
GPU[4].RDMA,Write Rsp 4,22680.0,count
GPU[4].RDMA,Inv Req 12,4004.0,count
GPU[4].RDMA,Inv Rsp 4,4004.0,count
GPU[5].RDMA,Read Req 12,127890.0,count
GPU[5].RDMA,Read Rsp 68,127890.0,count
