Location,What,Value,Unit
GPU[2].SuperDir,UpdateEntry,13065.0,count
GPU[2].SuperDir,InvalidateByEviction,0.0,count
GPU[2].SuperDir,InvalidateByWrite,0.0,count
GPU[2].SuperDir,ToLocalData,187030.0,count
GPU[2].SuperDir,ToRemoteData,167818.0,count
GPU[2].SuperDir,FromLocal,304416.0,count
GPU[2].SuperDir,FromRemote,50432.0,count
GPU[3].SuperDir,UpdateEntry,856.0,count
GPU[3].SuperDir,InvalidateByEviction,0.0,count
GPU[3].SuperDir,InvalidateByWrite,0.0,count
GPU[3].SuperDir,ToLocalData,11033.0,count
GPU[3].SuperDir,ToRemoteData,295848.0,count
GPU[3].SuperDir,FromLocal,304416.0,count
GPU[3].SuperDir,FromRemote,2465.0,count
GPU[4].SuperDir,UpdateEntry,34884.0,count
GPU[4].SuperDir,InvalidateByEviction,0.0,count
GPU[4].SuperDir,InvalidateByWrite,0.0,count
GPU[4].SuperDir,ToLocalData,188148.0,count
GPU[4].SuperDir,ToRemoteData,221175.0,count
GPU[4].SuperDir,FromLocal,304416.0,count
GPU[4].SuperDir,FromRemote,104907.0,count
GPU[5].SuperDir,UpdateEntry,31097.0,count
GPU[5].SuperDir,InvalidateByEviction,0.0,count
GPU[5].SuperDir,InvalidateByWrite,0.0,count
GPU[5].SuperDir,ToLocalData,168635.0,count
GPU[5].SuperDir,ToRemoteData,228548.0,count
GPU[5].SuperDir,FromLocal,302532.0,count
GPU[5].SuperDir,FromRemote,94651.0,count
GPU[2].SuperDir,UpdateEntry - 3,434.0,count
GPU[2].SuperDir,InvalidateByEviction - 3,0.0,count
GPU[2].SuperDir,InvalidateByWrite - 3,0.0,count
GPU[2].SuperDir,InvalidateByPromotion - 3,0.0,count
GPU[2].SuperDir,InvalidateByDemotion - 3,0.0,count
GPU[2].SuperDir,UpdateEntry - 4,12631.0,count
GPU[2].SuperDir,InvalidateByEviction - 4,0.0,count
