Location,What,Value,Unit
GPU[2].RECDir,UpdateEntry,238224.0,count
GPU[2].RECDir,InvalidateByEviction,0.0,count
GPU[2].RECDir,InvalidateByWrite,0.0,count
GPU[2].RECDir,ToLocalData,4042069.0,count
GPU[2].RECDir,ToRemoteData,2868655.0,count
GPU[2].RECDir,FromLocal,6116944.0,count
GPU[2].RECDir,FromRemote,793780.0,count
GPU[3].RECDir,UpdateEntry,139392.0,count
GPU[3].RECDir,InvalidateByEviction,0.0,count
GPU[3].RECDir,InvalidateByWrite,0.0,count
GPU[3].RECDir,ToLocalData,1350872.0,count
GPU[3].RECDir,ToRemoteData,4785712.0,count
GPU[3].RECDir,FromLocal,5551840.0,count
GPU[3].RECDir,FromRemote,584744.0,count
GPU[4].RECDir,UpdateEntry,139968.0,count
GPU[4].RECDir,InvalidateByEviction,0.0,count
GPU[4].RECDir,InvalidateByWrite,0.0,count
GPU[4].RECDir,ToLocalData,1358867.0,count
GPU[4].RECDir,ToRemoteData,4731498.0,count
GPU[4].RECDir,FromLocal,5487487.0,count
GPU[4].RECDir,FromRemote,602878.0,count
GPU[5].RECDir,UpdateEntry,238464.0,count
GPU[5].RECDir,InvalidateByEviction,0.0,count
GPU[5].RECDir,InvalidateByWrite,0.0,count
GPU[5].RECDir,ToLocalData,1978098.0,count
GPU[5].RECDir,ToRemoteData,3768702.0,count
GPU[5].RECDir,FromLocal,4920039.0,count
GPU[5].RECDir,FromRemote,826761.0,count
GPU[2].RDMA,Read Req 12,1606210.0,count
GPU[2].RDMA,Read Rsp 68,1606210.0,count
GPU[2].RDMA,Write Req 76,104381.0,count
GPU[2].RDMA,Write Rsp 4,104381.0,count
GPU[3].RDMA,Read Req 12,1085974.0,count
GPU[3].RDMA,Read Rsp 68,1085974.0,count
GPU[3].RDMA,Write Req 76,118507.0,count
GPU[3].RDMA,Write Rsp 4,118507.0,count
GPU[4].RDMA,Read Req 12,1080555.0,count
GPU[4].RDMA,Read Rsp 68,1080555.0,count
GPU[4].RDMA,Write Req 76,136362.0,count
GPU[4].RDMA,Write Rsp 4,136362.0,count
GPU[5].RDMA,Read Req 12,1410737.0,count
GPU[5].RDMA,Read Rsp 68,1410737.0,count
GPU[5].RDMA,Write Req 76,73600.0,count
GPU[5].RDMA,Write Rsp 4,73600.0,count
GPU[1].RECDir,avg_evict_utilization,0.0,ratio
GPU[1].RECDir,evict_count,0.0,count
GPU[1].RECDir,alloc_count,0.0,count
GPU[1].RECDir,need_eviction_count,0.0,count
GPU[1].RECDir,silent_reset_count,0.0,count
GPU[1].RECDir,defensive_cleanup_count,0.0,count
GPU[1].RECDir,inv_sent_count,0.0,count
GPU[1].RECDir,inv_skipped_self_only_count,0.0,count
GPU[2].RECDir,avg_evict_utilization,0.0,ratio
GPU[2].RECDir,evict_count,0.0,count
GPU[2].RECDir,alloc_count,7438.0,count
