ablation,config,workload,source,Location,What,Value,Unit
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[2].SuperDir,UpdateEntry,64801.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[2].SuperDir,InvalidateByEviction,0.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[2].SuperDir,InvalidateByWrite,2.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[2].SuperDir,ToLocalData,191693.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[2].SuperDir,ToRemoteData,160638.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[2].SuperDir,FromLocal,217783.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[2].SuperDir,FromRemote,134548.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[3].SuperDir,UpdateEntry,66054.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[3].SuperDir,InvalidateByEviction,0.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[3].SuperDir,InvalidateByWrite,4.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[3].SuperDir,ToLocalData,215886.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[3].SuperDir,ToRemoteData,199260.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[3].SuperDir,FromLocal,230126.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[3].SuperDir,FromRemote,185020.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[4].SuperDir,UpdateEntry,58263.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[4].SuperDir,InvalidateByEviction,0.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[4].SuperDir,InvalidateByWrite,4.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[4].SuperDir,ToLocalData,165605.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[4].SuperDir,ToRemoteData,215047.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[4].SuperDir,FromLocal,218009.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[4].SuperDir,FromRemote,162643.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[5].SuperDir,UpdateEntry,39366.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[5].SuperDir,InvalidateByEviction,0.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[5].SuperDir,InvalidateByWrite,4.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[5].SuperDir,ToLocalData,113875.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[5].SuperDir,ToRemoteData,71563.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[5].SuperDir,FromLocal,71899.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[5].SuperDir,FromRemote,113539.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[2].SuperDir,UpdateEntry - 0,48.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[2].SuperDir,InvalidateByEviction - 0,0.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[2].SuperDir,InvalidateByWrite - 0,0.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[2].SuperDir,InvalidateByPromotion - 0,0.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[2].SuperDir,InvalidateByDemotion - 0,0.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[2].SuperDir,UpdateEntry - 1,22.0,count
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,GPU[2].SuperDir,InvalidateByEviction - 1,0.0,count
