ablation,config,workload,source,kernel_time_s,L2_hit_rate,L2_req_avg_latency,Dir_InvByEviction,Dir_InvByWrite,Dir_InvByDemotion,Dir_InvByPromotion,Dir_FromLocal,Dir_FromRemote,Dir_ToLocalData,Dir_ToRemoteData,Dir_AvgEvictUtil,Dir_avg_latency,Dir_BankLookup_avg,RDMA_ReadReq,RDMA_ReadRsp,RDMA_WriteReq,RDMA_WriteRsp,RDMA_InvReq,RDMA_InvRsp
A0_no_rsb_cbf,,im2col_a0,A0_no_rsb_cbf/sql/im2col_a0.sqlite3,0.001207095,0.5381471462243623,2.6125706467174973e-06,0.0,14.0,,,737817.0,595750.0,687059.0,646508.0,,2.4998480831093173e-09,3.712133857244918,486634.0,486634.0,704866.0,704862.0,28.0,28.0
S2_size,n=1000,matmul_n1000_CD,S2_size/n=1000/sql/matmul_n1000_CD.sqlite3,0.001113298,0.5723354501667197,6.093162230377475e-07,,,,,,,,,,,,409540.0,409540.0,96640.0,113773.0,254124.0,254124.0
S2_size,n=1000,matmul_n1000_HMG,S2_size/n=1000/sql/matmul_n1000_HMG.sqlite3,0.0010540699999999998,0.5470865709959435,5.338118371593808e-07,,,,,,,,,,,,409412.0,409412.0,94912.0,96164.0,10470.0,10470.0
S2_size,n=1000,matmul_n1000_REC,S2_size/n=1000/sql/matmul_n1000_REC.sqlite3,0.0010485350000000002,0.5468975306978809,5.467802183190102e-07,,,,,,,,,,,,409412.0,409412.0,94158.0,94158.0,,
S2_size,n=1000,matmul_n1000_SD,S2_size/n=1000/sql/matmul_n1000_SD.sqlite3,0.00104587,0.5545270696455262,5.48232561506615e-07,0.0,0.0,,,1215780.0,252455.0,554846.0,913389.0,,7.532981359187287e-09,4.05676831998408,409410.0,409410.0,95500.0,95500.0,,
S2_size,n=2000,matmul_n2000_CD,S2_size/n=2000/sql/matmul_n2000_CD.sqlite3,0.010251456,0.7012961624441771,7.427112434976612e-07,,,,,,,,,,,,7442638.0,7442638.0,433052.0,532533.0,3667316.0,3667316.0
S2_size,n=2000,matmul_n2000_HMG,S2_size/n=2000/sql/matmul_n2000_HMG.sqlite3,0.0067725500000000004,0.7776830979503864,4.990697968440135e-07,,,,,,,,,,,,5173906.0,5173906.0,426556.0,478540.0,665266.0,665266.0
S2_size,n=2000,matmul_n2000_REC,S2_size/n=2000/sql/matmul_n2000_REC.sqlite3,0.006575117,0.7671819643861648,4.868265062011324e-07,,,,,,,,,,,,5183476.0,5183476.0,432850.0,432850.0,,
S2_size,n=2000,matmul_n2000_SD,S2_size/n=2000/sql/matmul_n2000_SD.sqlite3,0.006324167,0.7708336694833207,4.877544742636052e-07,0.0,97.0,15.0,,21950549.0,2739482.0,8556612.0,16133419.0,0.25269249201590854,2.297988516399495e-09,4.241175058793337,5050036.0,5050036.0,428928.0,428928.0,224.0,224.0
A0_no_rsb_cbf,,matrixmultiplication_a0,A0_no_rsb_cbf/sql/matrixmultiplication_a0.sqlite3,0.002006494,0.8896738038309647,2.453217195239817e-07,0.0,156.0,,,10363930.0,674812.0,3513810.0,7524932.0,0.25,2.2067061802286485e-09,4.654861384074565,1250596.0,1250596.0,99028.0,99028.0,312.0,312.0
